UTC	Pack_count	IMUTemp	q0	q1	q2	q3	Roll	Pitch	Yaw	RollRate	PitchRate	YawRate	AccX	AccY	AccZ	RealAccX	RealAccY	RealAccZ	PosX	PosY	PosZ	Long	Lat	Height	VelX	VelY	VelZ	RSSI	SNR
13:09:24:58	563	26.625	0.8125	-0.00080681	0.00093794	0.58252	71.277	0.141256	-0.00774384	-0.0012779	0.0093155	-0.0077438	-0.0076485	0.013046	0.022888	-0.014435	0.009201	9.8125	0	0	0	24.78623	120.9975	145.2126	-0.01311493	0.02656555	145.2126	-23	6.75
13:09:24:92	564	26.625	0.81299	-0.00081873	0.00097132	0.58252	71.2444	0.145101	-0.00622559	-0.0011158	0.0089417	-0.0062256	-0.006279	0.0098724	0.025787	-0.017654	0.0070877	9.8125	0	0	0	24.78623	120.9975	145.2293	-0.009140015	0.02690125	145.2293	-23	7.25
13:09:25:26	565	26.6094	0.81299	-0.00080347	0.00098228	0.58203	71.1989	0.145141	-0.00458145	0.00030422	0.0083923	-0.0045815	-0.0045586	0.0085373	0.027115	-0.018326	0.0055389	9.8125	0	0	0	24.78623	120.9975	145.2382	-0.006698608	0.02755737	145.2382	-23	6.5
13:09:25:59	566	26.6094	0.81348	-0.00079679	0.00098038	0.58154	71.1209	0.144496	-0.00761032	-0.00043488	0.009552	-0.0076103	-0.00012183	0.015244	0.012276	-0.010506	0.0035076	9.8047	0	0	0	24.78623	120.9975	145.2116	-0.006072998	0.02734375	145.2116	-23	7
13:09:25:93	567	26.6094	0.81348	-0.00080013	0.00097847	0.58154	71.1209	0.14454	-0.00886536	-0.00017834	0.010223	-0.0088654	0.014824	-0.0028648	-0.0089569	-0.022827	-0.016541	9.7813	0	0	0	24.78623	120.9975	145.2083	-0.004516602	0.02709961	145.2083	-23	6.5
13:09:26:27	568	26.6094	0.81396	-0.00078487	0.00096512	0.58105	71.0428	0.142257	-0.00114918	0.00043464	0.0047874	-0.0011492	0.019791	-0.010101	-0.018936	-0.0271	-0.023438	9.7734	0	0	0	24.78623	120.9975	145.1651	-0.00466156	0.02682495	145.1651	-23	6.75
13:09:26:61	569	26.6094	0.81396	-0.0007844	0.00096512	0.58057	70.9973	0.142262	-0.00625992	-0.0010481	0.0079041	-0.0062599	0.023209	0.00081158	-0.02037	-0.015961	-0.02327	9.7656	0	0	0	24.78623	120.9975	145.1666	-0.003574371	0.0274353	145.1666	-23	6
13:09:26:94	570	26.6094	0.81445	-0.00081968	0.00098419	0.58057	70.9648	0.146329	-0.00671768	-0.00088453	0.008873	-0.0067177	0.0043144	0.003355	0.017685	-0.020584	-0.004921	9.8047	0	0	0	24.78623	120.9975	145.1809	-0.001253128	0.02746582	145.1809	-24	6.75
13:09:27:28	571	26.625	0.81445	-0.00083351	0.00097847	0.58008	70.9192	0.146751	-0.00133133	-0.00021279	0.0051308	-0.0013313	-0.0050888	0.015656	0.023239	-0.011757	0.0077629	9.8125	0	0	0	24.78623	120.9975	145.1498	-0.000883102	0.02714539	145.1498	-24	6.75
13:09:27:62	572	26.625	0.81494	-0.00084543	0.00099277	0.57959	70.8412	0.148853	-0.0072937	-0.00095034	0.0098495	-0.0072937	-0.0027275	0.0053062	0.013084	-0.021561	0.0020409	9.8047	0	0	0	24.78623	120.9975	145.153	-6.14E-06	0.02818298	145.153	-23	6.5
13:09:27:96	573	26.625	0.81494	-0.0008359	0.00097752	0.57959	70.8412	0.146795	-0.00802612	-0.00066042	0.0090256	-0.0080261	0.017197	-0.0076218	-0.015457	-0.026718	-0.021011	9.7734	0	0	0	24.78623	120.9975	145.1591	0.002662659	0.02806091	145.1591	-23	6.5
13:09:28:30	574	26.625	0.81494	-0.00079346	0.00095415	0.5791	70.7956	0.14183	-0.0063324	-5.32E-05	0.0076485	-0.0063324	0.01944	-0.0065155	-0.013	-0.023941	-0.022308	9.7734	0	0	0	24.78623	120.9975	145.1358	0.003574371	0.02864075	145.1358	-24	6.75
13:09:28:64	575	26.625	0.81543	-0.00081825	0.00096083	0.5791	70.7632	0.144039	-0.00441742	-0.00088263	0.0072632	-0.0044174	-0.0025291	-0.0058899	-0.0040932	-0.03096	-0.0017767	9.7813	0	0	0	24.78623	120.9975	145.1455	0.005626678	0.02903748	145.1455	-23	7
13:09:28:98	576	26.625	0.81543	-0.00080681	0.00093365	0.57861	70.7175	0.140776	-0.00364876	-0.00070333	0.0071297	-0.0036488	-0.010399	0.0019894	0.016006	-0.025589	0.0081329	9.8047	0	0	0	24.78623	120.9975	145.1785	0.005447388	0.02961731	145.1785	-22	7
13:09:29:31	577	26.625	0.81592	-0.00077868	0.00092936	0.57813	70.6395	0.138485	-0.00125408	0.00055027	0.005146	-0.0012541	-0.0060768	0.00092649	0.017868	-0.024582	0.0042152	9.8047	0	0	0	24.78623	120.9975	145.1485	0.006771088	0.02915955	145.1485	-23	7
13:09:29:65	578	26.625	0.81592	-0.00080156	0.00093651	0.57813	70.6395	0.14067	-0.00553513	-0.0017986	0.0084229	-0.0055351	0.0023136	0.0062408	0.0072327	-0.017471	-0.0024624	9.7969	0	0	0	24.78623	120.9975	145.1519	0.006961823	0.02896118	145.1519	-25	6
13:09:29:99	579	26.625	0.81641	-0.00081778	0.0009551	0.57764	70.5615	0.143457	-0.0030632	-0.00065136	0.0073586	-0.0030632	-0.0058632	0.0042076	0.016785	-0.022491	0.0046349	9.8047	0	0	0	24.78623	120.9975	145.1605	0.00932312	0.02941895	145.1605	-25	6.25
13:09:30:33	580	26.625	0.81738	-0.0024681	0.0002439	0.57617	70.3596	0.185783	-0.0887451	0.0071373	0.013657	-0.088745	0.60303	-0.12634	0.039032	0.051941	-0.64648	9.8281	0	0	0	24.78623	120.9975	145.1386	0.03973389	0.0244751	145.1386	-24	6.5
13:09:30:66	581	26.625	0.82324	-0.0041466	-0.0013685	0.56738	69.149	0.140544	-0.0919189	-0.018921	0.024948	-0.091919	0.87354	-0.57471	-0.10632	-0.25073	-1.1035	9.6719	0	0	0	24.78623	120.9975	145.1634	0.2548828	-0.06274414	145.1634	-28	6.5
13:09:31:00	582	26.625	0.83301	-0.0019484	-0.0015316	0.55322	67.1784	-0.0226854	-0.266113	0.053833	-0.033844	-0.26611	0.8501	1.4277	0.40479	1.65527	-0.270508	10.1875	0	0	0	24.78623	120.9975	145.1417	0.5151367	-0.1588135	145.1417	-31	6.25
13:09:31:34	583	26.6094	0.80225	0.0025749	0.0034046	0.59668	73.2815	0.136979	-0.0111694	0.086975	0.048218	-0.011169	-0.82715	0.62793	-0.21521	0.33667	1.0596	9.5625	0	0	0	24.78623	120.9975	145.1461	0.3613281	-0.06915283	145.1461	-30	6.25
13:09:31:68	584	26.6094	0.80176	0.00047755	0.0031033	0.59814	73.4495	0.252227	-0.0119476	-0.010124	-8.08E-05	-0.011948	-0.13208	-0.065857	0.097046	-0.14343	0.15112	9.8828	0	0	0	24.78623	120.9975	145.1427	-0.01242828	0.04525757	145.1427	-29	6.5
13:09:32:01	585	26.6094	0.79883	0.00088024	0.003191	0.60156	73.9642	0.231419	0.0366821	-0.0024948	0.0086594	0.036682	-0.1051	0.12347	0.010895	0.049988	0.1864	9.7969	0	0	0	24.78623	120.9975	145.0971	-0.06378174	0.05392456	145.0971	-32	6.5
13:09:32:35	586	26.6094	0.79102	0.0011549	0.003149	0.6123	75.4856	0.204277	0.126221	-0.0075073	0.003624	0.12622	-0.12744	-0.16882	-0.031586	-0.22961	0.13611	9.7578	0	0	0	24.78623	120.9975	145.1001	-0.09039307	0.05102539	145.1001	-30	7
13:09:32:69	587	26.6094	0.77344	-0.00033522	0.00084543	0.63379	78.6655	0.0992864	0.0855713	-0.041199	-0.016861	0.085571	0.17017	0.20178	0.050842	0.21655	-0.1261	9.8438	0	0	0	24.78623	120.9975	145.0946	-0.04769897	0.04232788	145.0946	-31	6.25
13:09:33:03	588	26.6094	0.77246	-0.00052023	0.00092554	0.63525	78.8662	0.119767	0.00214195	0.01162	0.010376	0.002142	-0.1123	0.053955	-0.021332	0.010612	0.12537	9.7656	0	0	0	24.78623	120.9975	145.0416	0.02258301	0.03424072	145.0416	-30	6.25
13:09:33:37	589	26.5938	0.77246	-0.00076008	0.00074339	0.63525	78.8662	0.121103	-0.0120239	-0.00051546	0.0095444	-0.012024	0.050476	-0.014915	0.00083733	-0.025742	-0.054657	9.7891	0	0	0	24.78623	120.9975	145.0583	0.02250671	0.03613281	145.0583	-31	6.25
13:09:33:71	590	26.5938	0.77295	-0.00082541	0.00056505	0.63477	78.7874	0.110046	-0.00530243	-0.0033245	0.0067368	-0.0053024	-0.042114	0.018799	-0.0075302	-0.0084305	0.039215	9.7813	0	0	0	24.78623	120.9975	145.0572	0.01589966	0.03683472	145.0572	-31	5.75
13:09:34:04	591	26.5938	0.77295	-0.00096512	0.00043821	0.63428	78.7441	0.108988	-0.0139008	-0.0061607	0.0089111	-0.013901	0.01519	-0.0068283	-0.022995	-0.022415	-0.02594	9.7656	0	0	0	24.78623	120.9975	145.0276	0.01818848	0.03549194	145.0276	-30	6.25
13:09:34:38	592	26.5938	0.77979	-0.0016079	-0.00025702	0.62646	77.5554	0.0924123	-0.135132	-0.0026035	0.016907	-0.13513	0.51563	-0.027863	-0.025314	0.068054	-0.5376	9.7656	0	0	0	24.78623	120.9975	145.0209	0.07714844	0.03393555	145.0209	-29	5.75
13:09:34:72	593	26.5938	0.79297	-0.0017624	0.00098133	0.60938	75.0824	0.212208	-0.111511	-0.0024853	-0.005661	-0.11151	0.21228	0.043427	0.050049	0.061798	-0.20972	9.8359	0	0	0	24.78623	120.9975	145.0367	0.168335	0.001867294	145.0367	-31	6
13:09:35:06	594	26.5938	0.79932	-0.0041885	0.00046968	0.60059	73.8395	0.33141	0.0257111	0.0089951	0.031647	0.025711	0.59814	-0.14343	0.21716	-0.0318298	-0.674805	10	0	0	0	24.78623	120.9975	145	0.3972168	-0.074646	145	-29	6.5
13:09:35:40	595	26.6094	0.80176	-0.0028992	-0.00105	0.59717	73.3589	0.101981	-0.137085	0.16541	0.088684	-0.13708	1.5332	0.16248	-3.1035	0.5791	-1.4502	6.6797	0	0	0	24.78623	120.9975	144.9991	0.6289063	-0.1259766	144.9991	-30	6
13:09:35:73	596	26.6094	0.81104	-0.002018	-0.001193	0.58496	71.6022	0.0243899	-0.0558472	-0.0016212	-0.0070763	-0.055847	0.65625	0.625	-0.073181	0.79736	-0.47095	9.7109	0	0	0	24.78623	120.9975	145.0123	0.6298828	-0.1739502	145.0123	-31	6.5
13:09:36:07	597	26.5781	0.81641	-0.004055	-0.00087452	0.57764	70.5608	0.18656	-0.0279694	0.0041656	0.067322	-0.027969	0.28247	0.22205	0.97119	0.261963	-0.273926	10.7578	0	0	0	24.78623	120.9975	144.979	0.6875	-0.2064209	144.979	-33	6.75
